00264	True IMSI - MCC	imsi_t_mcc	CDMA
00265	True IMSI - 11 12 Digits	imsi_t_11_12	CDMA
00266	True IMSI - Address Number	imsi_t_addr_num	CDMA
00267	Unwired Planet Alert Records	up_alert	Data
00268	Unwired Planet Idle Timer	up_idle_timer	Data
00269	SMS Time Display	sms_utc	Display
00270	Roam Ringer	roam_ringer	Display
00271	Rental Timer	rental_timer	System
00272	Rental Timer Increment Value	rental_timer_inc	System
00273	Rental Counter	rental_cnt	System
00274	Rental Timer Enabled	rental_timer_enabled	System
00275	Full System Preference	full_system_pref	Display
00276	BORSCHT Port (RJ-11) Ringer Frequency	borscht_ringer_freq	Factory
00277	Payphone Support Enable	payphone_enable	System
00278	DSP Answer Detection Enabled	dsp_answer_det_enable	System
00279	EVRC Priority	evrc_pri	Display
00280	Obsolete Item	afax_class_20	Obsolete
00281	V52 Control	v52_control	Data
00282	Carrier Information	carrier_info	Display
00283	Analog FAX Class 2.0	afax	Data
00284	Distinguishes Old/New UART Hardware	sio_pwrdwn	Data
00285	EVRC Voice Service Options	pref_voice_so	System
00286	Voice Recognition Hands Free Kit Enabled	vrhfk_enabled	Display
00288	PDM1 RF Calibration	pdm1_vs_freq	RF CDMA
00289	PDM2 RF Calibration	pdm2_vs_freq	RF CDMA
00290	SMS Auto Deletion	sms_auto_delete	Display
00291	Silent Redial Enabled	srda_enabled	Display
00292	Output UI Key	output_ui_key	Debug
00293	Polarity Reversal Timeout	pol_rev_timeout	Factory
00294	First Stack Checker Diagnostic Buffer	si_test_data_1	Debug
00295	Second Stack Checker Diagnostic Buffer	si_test_data_2	Debug
00296	OTASP SPC Change	spc_change_enabled	System
00297	Data MDR Mode	data_mdr_mode	Data
00298	Packet Data Calls Originate String	data_pkt_orig_str	Data
00299	Unwired Planet Key	up_key	Data
00300	Packet Data Configuration	data_auto_packet_detection	Data
00301	Auto Volume Enabled	auto_volume_enabled	Display
00302	Wildcard SID	wildcard_sid	Obsolete
00303	Roaming Messages	roam_msg	Display
00304	OTKSL Flag	otksl_flag	Security
00306	SMS Reminder Tone	sms_reminder_tone	Display
00307	Micro Browser Data	ubrowser	Data
00308	BTF Adjustment	btf_adjust	Display
00309	Full Preference Mode	full_pref_mode	Display
00310	Browser Confirmation Screen	up_browser_warn	Data
00314	User Zone Table Enabled	user_zone_enabled	System
00315	User Zone Table	user_zone	System
00318	Password Authentication Protocol User ID	pap_user_id	Security
00319	Password Authentication Protocol Password	pap_password	Security
00330	PCS Tx Linearizer Master Slope	pcs_tx_lin_master_slp	RF PCS
00331	PCS Tx Linearizer Trim vs Temperature	pcs_tx_lin_vs_temp	RF PCS
00332	PCS Tx Power Limit vs Temperature	pcs_tx_lim_vs_temp	RF PCS
00333	PCS Tx Power Limit vs Frequency	pcs_tx_lim_vs_freq	RF PCS
00334	PCS Expected HDET Reading vs AGC PDM	pcs_exp_hdet_vs_agc	RF PCS
00335	ADC HDET Reading Offset	pcs_hdet_off	RF PCS
00336	ADC HDET Reading Span	pcs_hdet_spn	RF PCS
00337	PCS R1 Rise	pcs_r1_rise	RF PCS
00338	PCS R1 Fall	pcs_r1_fall	RF PCS
00339	PCS R2 Rise	pcs_r2_rise	RF PCS
00340	PCS R2 Fall	pcs_r2_fall	RF PCS
